eigenCoordinates,labels
"[-48.95465948823547, -92.46595832035045, 163.71188389401297, 7.452814752939922, 26.49771705518416, 128.22198126211038, 77.63586459885336, 25.18716007749468, 8.353534446348192, -16.913535490797248, 57.88676380877743, 19.90684493243366, -12.683326059790012, -47.61735758936738, -35.16439224748879, -56.853845579683174, -48.055567460282184, -201.8274243482295, -114.77148351556059, 15.228488584511304, -93.89436219166281, 19.68918606464237, 94.66050489235104, -37.56655831449297, -24.654263744380494, 8.944142854509057, -32.14342670609323, 85.30298925393681, 32.77837828440625, 77.96765382948752, 24.860769112446654, -16.188217383494422, 70.24774128661358, 72.51010726508801, -24.213796572564938, -49.48204209682129, 28.78376303680149, -132.1411501372124, -40.256491051106295, 55.47375491999959, 83.53460171662435, -109.03088387550045, -24.650017090163068, -86.74843056712578, 8.708882398050106, -58.53432063440407, 88.54027257845958, 1.6863081025953466, 96.76993296572859, 51.51093366798082, 28.3747068888008, -14.281745778895159, -54.150827298852086, 25.347371799931672, 9.102554366795104, 43.51510690663072, 26.326138335714468, 20.751485422876044, -11.771102929433901, -45.83795317100426]",person46
"[-13.381713009642482, -26.558838294234477, 71.09810397573811, 52.503999288818704, 10.122322088422026, -5.821255562287444, 27.099877417907095, 17.03903505652515, 27.2782935226886, 4.046717551324024, -31.935901629009372, 55.58878857152183, 20.480469729223262, 71.59274393170395, -21.24934264749614, -59.77199163225776, -16.927263542092533, -30.997249409870108, -62.175999405591575, 84.50567643833455, -6.29667087748998, -25.9417047439832, -33.50987528525468, -8.514304818114585, -43.893162390527294, -36.23104623695173, -6.941950572715001, 83.85664216292918, 74.7473659026634, -38.43228967004574, 71.35760620502879, 4.17466300620713, -10.07777191375552, 37.04250366439139, -30.633305863834767, -18.283020352556964, 23.762910515063965, -89.1502822916308, -5.216679333861286, 79.85368636080395, -38.87497450836637, -16.705617018785755, -61.87429194614337, 8.391774482144474, 57.62838566449379, -86.38454110870659, -20.33549918102623, 39.96800240650435, 41.9568437006107, -11.5397617144323, 15.683121417397246, -22.72194667895208, 6.410547721951481, -6.15043945945656, 40.01799540640229, 101.71957631863015, -7.251453639222859, 24.528014573419927, 8.33409081696609, -20.257283766472543]",person17
"[-34.56817897304117, 14.876911912555807, 74.94019947404752, 32.31150241204964, 40.8041826125409, 6.672882370510904, -4.213419121005492, 2.9868408636213672, -67.95680373563349, 16.20699768836281, -23.1604616625464, 47.553485418585915, 48.648640939074184, 61.66706722363119, 1.6109967951109114, -35.830331947033244, -1.1339838102577415, -86.59167427715755, -72.58052330506095, 9.171829493393993, -28.650440975925434, -83.45411223626688, 34.236484959937194, 37.78144843217547, -52.44983175717381, -11.527822120699746, 0.7812284490298929, 23.92143032639519, 55.60206373841321, 6.056125940762243, 77.34276733539485, -33.311346037816456, -6.956719913956206, 25.93814227430788, -65.76501200378652, -5.782802174481716, 11.91688332745923, -104.64977906651735, -81.89233454226809, 83.00849755260919, -13.691159658005123, 5.491452081249513, -52.79389862845156, -38.98657922519723, 83.37245439073887, -14.039468666310052, 31.94484154324866, -19.182268532449676, 69.46216245362027, -8.455319045293665, 36.52074701755923, -63.20783956315974, -14.88715464317295, 22.582111930968292, 33.940131211337864, 42.23115405566116, 41.5683902536523, 0.5756594759299674, 29.176939838948925, -54.80887960119847]",person74
"[-14.402297325559074, -143.27777712609898, 140.24114623392254, 117.19083608931783, 82.65349743064519, 9.511791190676302, -15.887682118125246, 58.698857207913505, -11.454836111163363, -79.34645762108384, 30.439327795128914, 130.9278034424953, -31.11954836513864, 50.20967376161674, -50.486010996994715, 98.20194667760623, 53.194983517821875, -139.94675727547263, 25.60452940495626, 40.858005886057434, -39.294424402462724, -89.37113414064022, 47.00620597560545, 61.78631848127033, -161.39435003788284, -83.48206045411074, -53.90794346848192, 14.374829671334659, 75.94375884234152, 46.09097490800585, 87.01551822162372, -22.72267464268557, -60.74556936795256, 42.09508593988928, 57.34717872209643, -41.47135751894428, -57.08125619793469, -73.41263885344327, -51.089779611448314, 96.23468866224043, 70.41352804384198, -38.90070417540814, -71.84824435646237, -120.63415727765273, 132.53566337367872, 38.59957407617059, 71.7880294395198, 20.511311216010995, 202.94420592659202, 106.21516227189636, 42.54399235257329, -21.621136328548737, 91.14810318800508, -4.130399217293231, 35.888037364188314, 50.73102279134719, -5.348619290667699, 45.054006819954026, -57.268970395558426, -34.56632300900989]",person73
"[56.95405398090833, 51.20844119448735, -17.268195104119236, -9.530488550151674, 41.900371974644884, 11.686299357051164, 20.628042258704774, 33.70995384462335, -2.794272218886796, -16.15927551521998, -106.96674360752326, 17.359402527696197, 2.8124618061785185, -36.793502684923816, -51.16014987953396, 6.051527974751627, -6.3965718363864275, 0.030920864916442525, -57.952206641758806, -21.7462052038982, 73.2281657428961, -4.387279528836274, -10.636476951479516, -31.680969591540645, 23.357522017048133, -2.985582404341641, 25.304112690346116, -4.735615397237186, 14.477055004129419, -19.944859832723875, 13.65534377800314, -7.958072832222907, 1.719909950760595, -4.275349043324958, 57.123421156714684, 49.67202526041696, 16.427967299684347, 147.99102184960245, -46.373726961313345, -34.89881387948595, 16.791805024480563, 48.539859883593856, -28.542641403920754, 4.125992619283053, 65.1817525371611, 68.23786883827762, -22.815466973411638, 18.300131800214494, 60.64675662029369, -4.58890871745691, -50.520224846736426, 41.876261575026675, 33.68670490245261, -7.152309929103424, 26.236170905158215, -105.16213794162843, 38.540304813985145, 41.2684571559099, 16.534867017240188, -12.224931254955228]",CL
"[-46.036352946820884, -109.73889845374997, 74.15225190113759, 76.44144884501364, 71.74435509068448, 88.2046309344383, -46.368956958822785, -34.06068875118848, -95.25719179114029, -46.17119254154947, 89.92420965375285, 64.12001179722878, 64.17119276150015, -34.05605110078116, -49.113847110432374, 21.997003504532472, -34.29453536318945, -60.29949994862929, -39.52456662678857, 41.74989986160928, -53.636483473361224, -57.7963547330331, 52.291608007411156, 35.27099036516264, -84.9821426893181, -41.637058676469024, -39.60838337800876, 37.592768362915095, 24.282980925708593, 97.12696608251797, 26.023403062468788, -84.88900603972463, 13.787289497168738, 47.0249329605263, -24.922152411959008, -76.45010914752713, 94.88883975201381, -101.01365565730406, -51.3680382759469, 18.169987541286527, 52.392874301590325, -11.933639249279572, -78.16784133247393, -46.5131419652262, 72.84042711135109, -75.38395253185863, 28.89665712241833, 26.86834112065101, 49.34058286799284, 48.25609369636199, -22.57641581362236, -25.275094246217435, 90.73936486533749, -16.32200523215959, 64.59724214847483, 23.117979106003773, -6.996535807880681, -1.0231903686121888, 33.049325961798914, -3.916248769925744]",person36
"[-100.45215120960592, -110.45209798977709, 58.543285261736415, 6.6074011125778735, 34.50821443771038, 24.865214768278857, -28.20905872864444, -36.061926268752416, -91.2100151385674, -3.1199597061892916, 76.32572611306813, 11.801658382994361, -13.725412750536826, -147.53754779936938, -19.225729972893063, -8.985253422163204, -127.55570378885514, -68.28873748537349, -57.42370741983771, -49.66872931267682, -30.32092710794295, -21.285854177935946, 27.12605304362563, 77.98978728160196, 16.859532766545506, -20.862732661831423, -33.172019324971224, 16.124270424567293, 69.2265290898347, 131.8933982185048, 0.9941240923825456, -91.02758771354677, 22.071857994771282, -33.026145689707015, -87.50500927497893, 34.36016726763567, 69.19509753717854, -109.22027491383203, -22.111195781280117, 27.906416721257276, -8.760656916344194, -60.61336006971721, -55.442974136256964, -37.60949850749687, 64.7620543092497, -29.83533180114074, 4.011902456374614, 22.66356605275282, 34.49740197577114, 53.93348919453617, 15.152719931473376, 13.635317125246587, -49.61772975676213, -2.5766077065459214, 46.83655882621526, -38.87213141809366, 69.88143962055527, -4.640451761903602, 12.96629737090669, -1.209452398710095]",person7
"[-64.86683020310323, -137.75749607562116, 4.597480940642107, -26.924637500260403, 36.98445150662343, 36.461141691997724, 48.87418399414282, 32.36511812206117, -74.69129472387137, -3.335607399946852, 106.4696364697286, 6.346711734687452, -22.459517529169958, 10.53104882818913, 16.7545548476729, 61.246491284006964, -64.9326464163656, -72.54948596527603, -57.4231659616556, -43.4172769182735, 56.52722707935643, 23.852845442499657, -21.63316679000509, 56.21398687632393, -53.08671204568003, 58.993942346097526, -52.32294200445128, 17.874880283675154, 33.94575783726195, 51.001881601420756, -12.59544033732865, -28.484338073451458, -6.346922171834677, -11.861384754128878, -37.93500384203207, -4.639196224226257, 11.225960915419595, -66.28988377643165, -37.45563141595798, 94.57131080359397, -30.24775483401751, -49.43568235161418, -59.25099549154688, -16.162677176738626, -7.7165770867380274, 10.989742143876576, -23.1027098382219, 53.554090229577156, 28.101798400212786, 66.80745072125734, 50.570360040678494, 32.85553036294939, -98.5619240278366, 59.814962361876205, -22.608146275530064, 37.719585646942036, -15.287590945536468, -26.822904395590864, -10.74552545779708, -14.065134162990493]",person71
"[-97.26328042860813, -119.16744950830997, 93.2989570955401, -15.431320711858916, 51.437331253069175, 9.337317993984188, -56.28825678796708, 18.668418727720724, -49.581953041929104, -96.17111159243811, 133.20053918514782, 18.521789234394177, -8.353335695878819, -79.9643424820518, -39.28171342452907, 9.130268035830525, -76.26633347301009, -30.7488444562011, -86.7809180947004, -5.360213339638726, -74.15298945625183, -29.238308633964966, 25.96902240329561, -125.3442380908726, -37.51541509750206, 12.748507273468753, -24.896950483527547, 105.56790313890247, 44.4715905906296, 14.112810965928531, -48.05585015069098, -85.31832185439245, 34.63926334802656, -6.481144473987154, 57.05718997748568, -70.71763322704149, 22.92599779164587, -83.61235308872307, -34.51321926465337, 69.32728202639554, 35.695145761657486, -6.743080565699223, -84.88209089231266, 51.087331267611034, -7.695115764725308, -49.84841742261033, 27.70385409818587, 54.36559517623047, 29.767838625448512, 61.752639853334884, -40.95180035019588, 45.632019607548635, -35.942564493488206, 77.2623454702645, 83.89315703243513, 118.39937923378736, -16.802399678562377, 1.8466498263341862, -32.39371109585212, -93.84394039644951]",person78
"[-47.13448103235844, -1.2507485471732913, 42.563424534807396, 53.14230609184481, 89.2033138023173, 50.74112478235806, -12.369438173089112, -35.18470738402595, -36.5666141219985, -16.500318396224323, 42.80759144363345, 120.59515581686054, -56.64265421085987, 18.262192830992056, -32.332145791888216, -27.47354211290599, -36.99070167435052, -178.03485101399042, -65.27661963265882, 54.83325662272463, -140.8319881759377, -131.7636401328241, 28.607913245660093, 19.449168817393144, -76.06137681594964, -116.68162179536637, -12.624131128053449, 44.523889652082836, 39.91127139852362, 114.39035502749601, 48.14914560460591, -76.18841097412779, -26.522817908107427, 55.224035772320754, -48.97139202113783, -32.42582660615807, 94.44977186690645, -111.85232929165983, -89.90194776729572, 67.95393092952797, 47.36096263684979, -52.5276882946086, -105.31559975556866, -57.056831009382556, 83.07736548017776, -89.23607235839549, 43.529644934116575, -16.46145992711206, 132.45491861360787, 53.853484819757405, 4.115169690746358, 18.52239655907232, 8.565155830205944, 20.968391418044583, 90.05840274464798, 94.02711547874742, 19.183744213099814, -22.96323858999054, 34.30649145101163, -54.831218147736266]",person68
"[-93.51469375570682, -129.55133057675138, 102.76596729958533, 70.63567085954877, 48.80630721957458, 90.04224728717173, 52.288082384081406, -13.582830308769374, 16.369999778740613, 5.348828569781554, 32.05718208799243, 128.54636829307975, -26.600910087918024, -1.5040361134348395, -43.401304579708174, 20.084989689913066, -43.70597677172881, -188.5303884727607, -37.21457259963641, 43.21168279359318, -95.71656211494286, -75.79039282606759, 38.47234239176382, -23.311014250332626, -12.942193625904013, -74.24785575660452, -32.887089858774914, 5.731471476920333, 25.81491087213463, 92.05801467804558, 65.98410872018685, -126.99289612965535, -32.1702338916936, 106.11864687625003, 8.883041220173553, -125.3532673631113, 73.65030473751523, -109.86515908450136, -106.38917837851578, 23.443959090357268, 40.985735468428615, -60.91038448827579, -62.59051003912032, -108.08213439391068, 48.16487470319479, -124.55958116876263, 112.46842326919493, -34.2799414500042, 56.644698486871086, 42.068863924531335, -64.94936615358817, 25.74958926787604, 9.366779343074604, -44.747240999801626, 100.68868868735655, 72.45724869305752, 117.17120986590474, 57.548606373263524, 48.05562355665866, -107.87921363358373]",person66
"[-76.79560513108495, -175.50257008928494, 90.95611086133312, -32.85709228783764, 106.56788011101446, -7.16103713541535, 5.643706426513165, 6.730611379527556, 11.07793148172034, -89.43559025290635, 39.470832211619836, 22.227057206973438, 11.890679639871635, -53.17311601754928, 87.04980570556665, 26.274725581075884, -24.95092268221879, -212.4868475466529, 4.234579745485117, -18.579119432050923, -89.21193157719236, -110.47349142694502, 76.74036313079294, 12.253719368686916, 20.4537531669281, -9.074471751191558, -12.700226567031041, 77.97084933920728, 21.892317660149647, 180.03203202081545, -37.4611963672619, -131.24395837754736, 7.11305628319668, 48.94608958852569, 88.39952500240564, -49.08435816745641, 21.956295614339297, -47.25990922174788, -98.56311250962688, 15.084888358012261, 103.76688397344185, -29.5475513296856, -85.69244150384873, -26.877033751644962, 50.432323715516716, -135.90065041318533, 54.051782826560604, 73.10038796080555, 126.66944640713137, 84.85451721806264, -61.935802747213344, 32.43426005283659, -31.495384750506183, 4.41184917225365, 89.84072233096214, 29.62575848418347, 89.64243715177767, 54.96825683700688, -56.29926691209146, -72.23720590814763]",person6
"[-50.30593412724069, -0.7311731983921543, 79.14689088520865, 41.507178004086995, 2.7852736603243446, 17.250147367961937, 57.79802782535977, -24.02225348237109, -3.4018495122739343, 49.2595491805976, -85.34289248839026, -10.019043788064328, -21.745596087759253, 29.60271795363317, -5.350168464490551, -44.06182823670025, 34.578127411070234, -39.12178386971507, -12.38154089946449, 30.420741701774947, 11.598497371820418, -22.630218188389033, -55.772666566090415, -14.973845316573897, 49.5965308672216, -18.85005857817913, -23.00200688443585, 45.44013773791963, -13.175391415481677, 90.14950827051847, -28.570245366653044, 27.679177979036098, 10.358477558781487, -30.070062945280906, -43.301384906792855, 11.909630238763933, 6.192251780645398, -67.24818259805339, -52.26183927228919, 66.97055188344366, -44.40496999017836, 32.91445370584212, -29.4154953349948, -4.624110026860347, -5.110324800331318, 8.32451607962511, 3.498532218474775, -29.905122858703, 20.748875124414912, -59.7116668349359, -1.3301635837419798, 6.759207589965774, -14.732602714816835, -1.5254452194249417, -20.84807695086571, -0.8907268363169933, 67.64228958392714, 27.85075821092709, 9.451990941283928, -3.9167058719026664]",person18
"[-58.0840007591058, -25.794583165364312, 105.37749527996846, 84.5172453066024, 44.5824541160698, -17.839303791695755, 34.04166911912413, 8.536445234224956, 5.944547004160015, -14.57747811644117, -1.6554611550835432, 91.81104617345774, -50.92819712658608, 74.79945527820058, -15.317315603053087, -27.186721024093885, 33.263927960815614, -174.67486412747334, -24.97749210053221, 4.998612302889157, -60.39251601518681, -92.37789736235531, 26.303531935331623, -9.847780700195337, -56.37613723151142, -66.96285578192052, -40.91769762103045, 89.03632680995196, 49.58629037706248, 54.00415858653294, 75.6477600696141, -49.07977898853931, -29.275567477687176, 8.572871863930857, 23.145871506815393, 17.33416938011531, 40.59201087583034, -99.49987231353312, -52.68327987649231, 89.09333679314713, 48.45071110487136, -23.67039937775229, -49.42401977243237, -49.77649387144346, 118.49678706822513, 27.09360162915596, 85.1575030835956, -49.98462168324572, 169.19242052500942, 45.16387434855179, 14.192202307054544, -14.884054202505236, 46.19312861897044, 36.205630851623276, 66.20600040924467, 54.18067775308417, 39.60237896225262, 56.49681177774477, -5.5246524930495156, -37.40780404494575]",person12
"[-47.120620718249086, -139.85446930904226, 132.40941168336207, -13.300949029991559, -47.983590244483196, 56.60410681847214, -8.412369297195287, 53.34638151227623, 19.92977399602574, -67.50639689056828, 58.55929685336636, 38.48142414413273, -28.947108815689475, 67.13822307804993, 28.271683017664838, 45.79619801013102, 2.230572519825267, -123.20166379087678, 43.89997933083559, -4.603634614743797, -41.39134918639817, -74.9475390153411, 44.017007868462656, 10.0873605908209, -103.66892551578235, -67.17585148615777, -71.93421240088801, 92.24143783361131, 42.90834803250425, -5.318265252686373, 10.167191980859329, -27.314162870653696, -5.02355994761215, 6.650318408508383, 80.01284176321495, -78.66621370603131, -6.636181440691697, -37.635872387263, -79.66884071969666, 84.77653347776793, 18.10019054327882, -38.028143727895696, -82.67627894791741, -34.55683910252743, 20.839435640713262, -62.7711507436751, -11.924215057810756, 122.24059814145812, 103.01991837997954, 97.20678828145834, 38.23599341289838, -13.783441032981173, 25.88360409761598, 29.160537999920383, 40.088649582272694, 46.92654091823744, 0.9055140786717013, 63.02335202867703, -36.74857784401278, -144.6197531830419]",person49
"[-46.95781916284447, -84.07791385203248, 83.80939232452954, 64.85475757243663, 49.011961659763294, 16.204567607096198, 27.92600460467022, -17.821392681054157, -33.01696717848871, -34.259708192023254, 94.01114185645332, 39.900523229220205, -6.317020575828884, -64.23412549383615, -75.41310386945625, 9.399489719110006, -63.034345956042, -32.67675567931748, -17.83491079873324, -11.212807522391955, -72.19473276747632, -26.51887816166682, 46.98644807654743, 11.153898168058461, -34.28502980858887, -34.992086689797134, 3.782936167579372, 21.649006392685767, 83.56280893204017, 11.666694698570616, 59.419935265765425, -5.063340200691307, 12.844774591719595, 24.540855795641598, -37.01142045926733, -4.902644415336738, 41.95680351853515, -151.03919887905062, 19.491749858378355, 60.73871705892248, 6.624271725641629, -38.0142942326071, -54.62678651115043, 35.86331720709452, 66.7656188251902, 15.927160234934178, 38.853339090666346, 35.82319240452659, 60.10814408013124, 64.91438782435742, 13.947572058324013, 3.2731248629281353, 38.82743660226742, 69.10807235701715, 25.313812424258792, -16.973962595775113, -11.179175600833386, -34.73010638596927, -13.78787801634418, 8.584431573066665]",person47
"[-39.95985813664413, -19.59473421185585, 19.37777846805153, 79.67587970237989, 24.56932419001168, 56.68484457486987, 42.916746225342685, -44.64583157141224, -92.54428454337884, 24.287367959163504, 41.235977251571924, 19.835688342298056, 44.403172872334935, 19.49632477388699, -72.08611803701797, 13.315048078442839, -35.72223035791298, 45.11674743088648, -64.35776342119377, -2.474636269955594, 48.83285240717724, -29.20763867562266, -60.56965557718541, 37.826962327970854, 0.9403763332697253, 2.7983486921709706, -6.158693301071494, 25.11314261883934, 42.11976055137301, -10.063713314538397, 23.224588419624716, -13.821429558286615, 7.125591823772169, -16.614968173134155, -64.92376131656977, 31.26395300789437, 69.9819664465639, -127.2008125632428, -81.7287622831899, 118.14075367531618, -39.36603634283792, 20.44248615212389, -116.81145956119117, -45.850373995446674, 23.011746222221163, 19.207808741209362, 45.85363550184243, -53.385441524680665, -0.08897522913337141, 28.778115387355193, -27.915783510958192, 0.5974242957125515, 21.633932616031487, -32.655909778274314, -32.78204044059382, -9.191973069872018, -11.981042911603417, -40.06483277111668, 13.444768461083076, -1.766702590528281]",person33
"[-56.96767726371447, 6.0561835730976625, 36.24330927779445, 28.363701837535658, 8.16595520096506, 38.28587593439407, 23.975920229805148, 57.6495453122748, 77.05834437013442, -34.54406520268636, -74.88440961932173, 13.512151421634405, 1.7525761663692734, 41.031827828619335, 28.437013118301696, 20.159675096102042, 5.282540231972231, -20.512940004115247, -52.284868155341506, 32.29513320589905, -34.486608414035224, -24.8519889057752, 37.91735456779341, 5.733015814955465, 29.730705303448424, 49.70166785508884, -76.33746356821253, 27.488448779650092, 9.767991168700235, -17.947082761827705, 20.407897936859378, -29.984707999478715, 30.71309551599633, 74.50386968500419, -35.54899854032241, -27.142476874553456, 36.391880695845714, 3.9945162627436646, 32.537600586295596, 45.73019411546445, -41.83855117574043, 5.076320257629497, 52.12754972030193, -41.69919743173044, -29.3214935482614, -11.522682421352629, 26.843322481081504, 15.851778613951103, -2.698755809683231, -5.327004991046799, -37.30550371415136, 2.7890137769260903, -3.8353333370455953, -23.969147879227556, 18.630204531942912, -22.75766521796308, -16.78023588372836, 50.87921081863349, 16.071523708324403, -50.14174538246293]",person59
"[-35.94645640763281, 28.197411623363834, 69.08355916749463, 16.224707386163413, 20.65412687391754, 20.74066243316767, -20.96283587857485, 21.933033281245173, -94.69280983382993, 11.773462588815036, -25.640022982872793, 61.504669970915714, 46.80272091901285, 28.50720918259104, -21.367666278872257, -7.6623269397568645, 25.588598079640803, -71.63462718538777, -89.8682357119686, 4.748355264197176, -2.340220332220639, -78.29631351683892, 32.74693626649359, 26.242370976263707, -56.884334064259185, 3.090083889988632, 10.790414805186845, 22.234319693927493, 42.374903190885654, 33.22231348521137, 65.67564963081846, -22.279785273348548, 0.26626252538172324, -9.11229426641549, -34.7553753263092, 14.061093380671167, 28.64269558343706, -100.22249231337649, -56.824875843946856, 104.30874579498763, -5.169368716055924, 2.3730349043231236, -61.29360117298786, -0.7755007127883857, 93.36713182400825, -32.743831428682995, 6.520729023544307, 11.323731619401796, 67.41900678843233, -14.309617864979455, 11.178337997357158, -46.83567702067119, 2.2157292016920564, 25.894194110823804, 47.3757353382405, 59.188238721678275, 32.27467412799484, -4.496220667571343, 7.328906035548773, -39.0877251388338]",person74
"[-94.97987074766668, -46.72158299397415, 27.398606333328125, 118.68765331842836, 38.411249498295284, -8.737173671112508, 17.77283735619201, -18.108951105221703, -7.875750863274135, -21.27040108078708, 101.02970123366813, 33.32109198496143, -17.335647046288514, -23.393088412275112, -52.682975876632696, -44.32511949071529, -66.91179488497168, 3.2434389895056572, -112.31388006882213, -0.5715584453777183, -39.53870651086754, -69.87903522486293, -37.64087710914352, -50.79240453670636, 16.698544524245445, -96.45589850373221, -4.276547577200656, 18.953787843528772, 45.74991546224366, 92.04486570500269, 69.25459738260395, -114.78902009636968, -42.6886727112947, 28.254889192111747, -74.14159377389889, 2.769476699612955, 69.67383761239509, -164.32395096278245, -60.47885299148295, 61.14014557392523, -35.62680492144693, 19.5952193246146, -47.88473740514993, 26.9324963369757, 126.78779427645432, -13.782960982096956, 46.58075217160089, -23.960615430691714, 59.95912946095336, 18.41301887298437, -46.354812019976855, 64.85713033093018, 6.291958364130956, -25.479024741680533, 67.79480863900336, 78.33867697159123, 17.946371465331275, 11.538399538937949, 25.204933192730515, -24.886828093737194]",person50
"[-85.59636926978447, -174.30734059558313, 63.76889271730268, -57.887540432946906, 1.3583911090538479, 49.754901050119386, -11.797694049789417, 96.62063967276777, -61.39361649984435, -0.0157053078226852, 58.70344387460007, 37.366521210881984, -58.74484159196091, 51.47071955503765, -31.263300196558482, 36.615233831952, -26.892812252230005, -134.3567365573302, 13.939669136811093, 4.424606665041516, 19.487412159129207, 6.757328517285728, 51.40998573879124, 49.382614351961294, -135.60835310405736, -67.67221520544705, -48.525635118388436, 62.32732839462117, -5.120315161668195, -2.464575351593062, -26.719204132075408, -25.248535325909398, -18.57012445723469, 31.39048258709832, 22.372852861865887, 30.074409550868367, 75.51439768923007, -126.30055472555641, -14.445462453273919, 21.185658216574645, 26.959073519819547, -34.16167900877702, -97.64908852376801, -48.07126284067466, 25.55316862631725, -17.675490410919334, 70.23606551678267, 60.58349737648801, 42.74615658494504, 33.17728064509778, -51.986395335116555, -20.73845177209745, -26.73631902041711, 73.05025652108594, 25.784337072502748, -65.95408339667505, 65.15787960479025, 67.78377264338326, 0.8292843897316686, -68.85625714129063]",person57
"[-77.01115192425837, -91.52411459018158, 112.32542315545618, 36.620009916221335, 62.8765147109048, 2.860093527068443, -7.801661974844453, 37.36022123474814, -46.49874207793907, -102.38894675171521, 65.28032225976901, 91.09243724438245, -11.400564747628167, 32.08531707794685, -64.58136087158252, -0.04553584545392653, 43.34841773620364, -78.78789245335675, -17.04097552101433, 19.659821807138073, -97.70883062780179, -77.64364708792925, 43.02422148816582, 67.27933333153803, -105.7854982093159, -64.02273875489949, -10.69137322595762, 55.3266059878535, 41.15336328355872, 22.66881012762658, 76.81532779640104, -58.79393500561014, -31.813849993458238, 41.794888676744975, -59.58779705887551, 17.947732308488145, 77.15087833547976, -169.39708120782808, -28.10602689491754, 101.21659109104081, 33.780289486178205, -44.67465220886705, -106.27219592900309, 11.937308090737716, 84.01057622462284, -15.65289846480474, 73.8521541832559, 43.926083250656255, 76.34815541810835, 39.803220529455515, 22.061630519010297, 33.47332504284507, 62.39091345962004, 58.12392815479805, 43.984378016032835, 31.92956152043763, -3.85182820596574, 51.94087503285083, -9.394819611172167, -51.94684025088927]",person24
"[17.950272804489398, -31.275239548762336, 38.01699203706363, 7.086444858438048, -30.893470773348678, -5.798281881983179, -10.095416435067706, -12.739141709956037, -91.65432673372824, 35.266345349035994, 99.66295054181921, -9.570952143223547, -3.857182236104265, 2.5377700406147063, -69.17824033040007, 16.559397190779272, -78.35895060341393, 55.387233266004316, -24.012800975852, -2.786883566983647, 28.661704825439116, 61.407034669745684, -4.576089661432313, 30.232425211500384, -13.12167015457412, -23.281421004352335, -27.723294621155993, 17.11883478454317, 24.328326293538925, 0.04636086021741903, 37.75769080746309, 30.463738037755043, -46.87228754226612, -16.291033542268888, 23.00791990788306, 6.841401971586906, 19.62652221805116, -89.5430993206645, -11.899813380051544, 4.467955548093833, 52.54615730185756, 34.515013071337194, -90.35187560741423, -37.29742884901033, 43.09958391165526, 24.813749634824312, -47.86604143289608, 68.63824122626494, 77.72616982344898, 2.8371435783339205, -46.37702468030717, -27.56575602439418, -22.158282631773847, 26.8300110196565, -59.025272732132606, -5.655574565009168, 45.705399090245095, 17.668891040640226, 0.2063908513540298, 28.794392185270183]",person0
"[-46.85244499178648, -138.9678176546268, 31.5546508185348, 65.18615175120634, -28.50679353149739, 88.37397113083877, 81.68856353113841, -7.787636045967709, 52.62248886741652, -11.963353534338353, 142.1268496779879, 26.47598888840994, -31.622067182903244, -22.081056936567684, -26.057339775060008, -13.12986502735232, -16.24561961193708, -28.11773036050015, -25.913461606006038, -8.126241160583827, 39.515478467508586, -5.926531489605395, -70.07636641575701, 1.405854218351621, -53.560230659433756, -34.013240344082696, -65.25514409498246, -7.719350989608241, 76.85425182508236, 4.3002003179338, -16.910217195131107, -2.363711070934208, -5.954756839584803, -19.01897025051602, -71.97954998752846, -59.569552131855986, 62.821747195535934, -128.93276540911097, 20.28343293115483, 50.70020861426784, -49.684068241441835, 26.21411034030762, -50.7557748703252, -37.44139723807996, 39.076025229094284, -26.958696392966583, 14.285658816603098, 12.703015100699332, 37.43087934605385, -6.890554965596545, 17.574180676934283, -7.454597285849786, 22.99641023928318, 1.9732632593010102, -33.515161341804905, -23.909622788440966, 6.32423173625083, -8.923877478299922, 77.40288639096161, -39.398174505735966]",person55
"[-62.97428810085077, -45.463215773525924, 119.27637772047353, 82.61610282619051, 144.15537669265848, 22.088369430393662, 58.817429548204316, -16.83885083165947, -23.68477699320855, -50.84551808731236, 100.85195233663032, 46.29525973440661, -60.293080166998465, -50.9915163781684, -74.75275996910094, -60.89989026709198, -78.32703496381566, -173.84495221052677, -140.11822400234237, 23.685826112673404, -53.276752108514884, -61.401828670760636, 62.9348171480749, -40.26601286193507, -134.24845910655657, -61.92902246308014, -28.88802320178996, 101.40003230636782, 46.444849623833434, 130.69719894008006, 126.85781384192849, -124.0431990467248, -6.2100654297775835, 115.82660637943859, 16.055883832593025, -78.55029633130066, 36.607985470582356, -115.37457863003442, -117.05219064892921, 121.89948493373953, 45.434971374981075, -41.44073579792619, -75.15630733886533, -41.29821928300333, 143.87281263606872, -104.43351520504032, 49.24713847549657, -26.375050379492993, 134.66207857290948, 36.082578629013696, 3.7342758289560436, 15.706792557896993, 36.21404646166103, 36.90114252932108, 88.04617278880937, 111.11736942131762, 48.83627640016002, 95.66911011332067, 42.36503534795656, -38.67027845717346]",person21
