eigenCoordinates,labels
"[-25.859565607300606, -27.618547040580726, 40.43520178017765, 37.470511973502624, 31.13658766436409, -10.91178815153108, -10.745148484433308, -10.296695039773827, -77.38980406294189, -15.055108326188954, 58.299017077009594, 3.0367586853116038, 13.03814008096358, -72.16120509120597, 1.235487991510162, -20.9439227739453, -78.1191861937542, -21.616051449856563, -117.63704489240922, -17.098230251168943, 19.228548434008495, -17.68499540477072, -13.84888262793449, 57.76353085659106, 20.998552008913613, 6.755740360310272, 22.564221421060374, 69.93959177717721, 15.732344271121653, 53.05490144012166, -30.604672943036846, 27.316192553988188, 5.566950579918775, -0.8637182404838697, -13.330858985105806, 21.64520941989843, 81.35385199417485, -33.94503703339396, -79.24026762404579, 81.06865428066043, 41.73883237251197, -54.68092144866479, -97.38694075973176, 47.86354730003926, 6.5375588192766045, -23.85569502613865, -8.980535111751166, 20.99877249517583, 20.756034430907278, 14.681593270231925, 44.648282394769964, 17.528389199670716, -93.26660559901839, 30.78190189374924, -4.27011662535186, -57.7097220948425, 34.553182163040546, -9.34753019885749, -1.7880450758102313, 62.35120772287264]",person44
"[-97.46619786682315, -163.6242286557955, 65.00898653769654, 117.71799479932653, 3.263132675404039, 20.51283254495984, 50.17700219846769, 38.07183263173153, -11.252018254136917, -39.10129424149477, 64.47390024296865, 83.12239341275786, 30.413707721534376, -69.80255919565295, -87.68486649147081, -49.54339326289486, -74.61079560873718, -54.324549238637, -23.032995523675716, 32.00909729733952, -64.49182019713662, 5.481654004859518, -18.62220081423277, -26.29808286876296, -36.99893786632565, -34.58645466472229, -81.87707827314043, 65.58478976384043, 86.245171969463, 21.340958742848095, 79.58007958210324, -63.03854520421437, 13.897324173428117, 16.272603939648732, -22.687727830770783, -24.93686335281542, 50.97815806389907, -167.83730262867167, 28.539879584453683, 80.78407552916804, -4.2220787658504975, 18.93401703177824, -95.66466808053423, 22.316824784487956, 61.16145245373275, -31.971646405796676, 65.27867882322307, 22.198811207873693, 67.03589807413753, 44.03240285646297, 19.45058167166559, -4.964138602968163, 13.596975360675927, 80.2397020379741, -50.28369104430785, -34.69428155291441, -31.319964417812752, -0.6415315217423228, 34.092741895443396, 20.75111907137249]",person55
"[7.0300768928092, -23.69906853097756, 9.23438828927982, 21.15386250900976, 30.503521445790238, 76.46601304913489, 71.61548111000155, -30.008761959662696, -97.3684247474747, 23.124325030239977, -3.7928761149937573, 11.188712450887287, 13.14714329433285, -7.001722143596169, -51.1550845792738, -17.30042943911009, -61.19496719870092, 29.80116066557383, -37.497154657392166, 51.81543346431708, 33.972770806479325, -43.13703145079394, 9.340683231667061, 17.53244275253725, -12.881157913437898, -17.931539243939504, -4.960887593923608, 33.55802179826716, 45.767039697101104, -6.415354526083057, 59.081932814109905, -4.347278884793841, -15.261074160063789, 60.955884236298694, -38.051330873548395, -8.825871235843977, 40.97719894021904, -97.78269727257495, -80.60427740479604, 36.09020129528211, 22.306167317162117, -5.152730361523801, -62.43233388429206, -20.086932479516435, 26.501200990880573, -61.55995653623283, -19.363535705252087, 56.83108531422144, 68.82432043242747, 2.4365310416072603, 24.3424632001405, -20.74817453243434, -24.962874953997996, -41.956108410601374, -31.032102408635406, -30.944695430427295, 39.006472484718884, -16.018232172548547, 1.022532684083668, 2.111288064616892]",person27
"[-78.21846423059571, -104.1166938033441, 180.0192711397678, 147.96250125306523, 103.89713238992533, 11.304576237079797, -52.74830261512232, 25.421965012342596, -93.74050107575391, -59.48876392030201, -31.677407989351508, 153.42168083949568, -26.08978139969191, 138.3073331441299, 10.808047805349393, 71.17085284245753, 0.12567413604465827, -189.84658397633174, -46.31268875564706, 27.894617614271397, -85.83488673386618, -174.6388257516618, 24.349849067865037, 62.72763470625602, -198.8880716896563, -21.613521564479903, -51.858120376910875, 108.44163730531224, -10.422809754520237, 86.33345691981924, 93.19917817642526, -36.0997584183406, -21.865384729286284, 87.71452056251422, -35.94441519858476, -72.60567954160935, 111.84777255007131, -139.05968719301498, -49.60144542422147, 119.29169305833679, 105.4608862523255, -69.51629578446456, -72.83984219846567, -41.95881819485437, 131.27838828140742, -161.07372853853892, 23.342069679125217, -21.5694685511941, 136.8825005648867, 16.964001006742755, 59.78554468924772, 4.947979960922169, 34.27624267098199, -6.717212291662783, 135.27898524799167, 89.43618696938509, 52.36215042698105, 70.65735922440098, -75.69958908069196, -88.12867530231003]",person53
"[-71.2802049562723, -155.4825320990838, 77.83281960581348, -34.69828448144551, 96.27701667311027, -17.528174214023124, 15.83627693486267, -0.6726682806289119, -7.61705531839586, -75.97523780097612, 35.47614755191254, 31.761912518949472, 24.6290240010143, -53.50383192499683, 85.50647386120534, 11.674653442969785, -15.604459660684633, -200.59544301626164, -15.552678645830692, -3.3994650998042637, -83.21651138732904, -111.22313878378581, 80.50785378005003, -0.29606751723171953, 33.73856816470724, -7.835729953055356, -34.16159388943166, 77.52388003452958, 7.996082231155423, 191.7142701547347, -37.303401610620675, -144.0798169537487, -6.945911001158408, 45.301608651765996, 70.49953786416272, -38.54835431746538, 37.388860052766255, -37.952888739639235, -112.1876541296582, 25.838300913296557, 96.95479193663735, -21.489504573998712, -83.02540425581815, -17.788386125451662, 52.86853978606326, -119.9696962488928, 66.45557267769819, 82.6467058029434, 114.83381748313845, 103.84067181999853, -29.15990715249197, 39.445991183668426, -2.40620496079492, 3.1027111870913817, 89.55964922117772, 4.40436898557069, 86.1912493770461, 57.34831683511824, -48.08296609283789, -59.203327004413644]",person6
"[-34.907785269779076, -8.50593102071602, 48.67298065588918, 88.97978667984201, 62.30899799199936, 54.050796230697415, 0.838638443304049, -28.35326303748804, 8.620103341328523, 54.19231825567909, 34.1714347234278, 99.18284811008462, -20.961676464239993, 46.44079061036853, -58.04612222341726, 3.1605766798305126, -20.4248442233559, -40.91692140337692, -89.15084921092927, 67.76506025975102, -8.423481387397999, -8.692802565332585, 23.366184174900294, 15.457775253762566, -78.15999010621991, -57.15753294519968, -38.260470480806035, 19.33048158609944, 81.31945616324498, 42.395013270171916, 58.105358746752614, -9.64334157037904, -10.120524293889186, 42.9613679792008, -41.46495431880092, -24.869895647679513, 52.703787598050816, -107.5630257651768, -55.037804713509466, 62.042347136072465, -17.005023485077114, -13.745890986911377, -119.6680448257402, 21.826288695772273, 92.20558243517695, -69.74937333840568, 55.253999895281375, -15.510659253197769, 90.87427642235279, -12.553270632333856, -7.807008467956342, 17.04727356544555, -42.21366259840173, -30.00257662664943, 34.10724900620018, 80.25973632912327, 54.749879712847125, -3.209060503414346, 20.737686923154822, 16.457965109073324]",person1
"[-64.08095112592406, -46.68960305688211, 102.74184559588862, 82.7201531078037, 113.26329293655802, 25.710489579358864, 18.64770683380155, -46.120305946437, -68.41401055872596, -3.2041986571819585, 149.51066866239492, -3.1345228362937263, -25.05104777754831, 0.22051252611257866, -43.05022565734656, -35.042829511861854, -67.64364559982458, -145.83165022679407, -70.91320346520637, 55.10912551347861, -67.10184806060295, -63.09940658570634, -36.71088375816305, -24.17754473110392, -83.32607385543218, -52.26653126912871, -24.53829817002365, 12.16796670885158, 62.67624920941472, 131.43939881428665, 49.10896235343478, -93.4424448145008, 54.380936762706924, 59.13719929026995, 4.078225203330781, -94.68744266894038, 89.89261313509787, -179.41938609647784, -83.69328437145268, 46.40476413736542, 57.79229439473318, -16.693194212038335, -55.27167408255349, -82.41427111911538, 107.14588042066343, -29.005957087227074, 16.017722832949637, -21.656886969302537, 90.23482543105874, 42.57968168646366, -60.77632550339097, 81.99914168132096, 10.670210241502382, -10.372073747679643, 9.315851171479686, 92.64243434570592, 26.800876308246522, 29.95152274386492, 50.71494764844208, -55.45407238021379]",person72
"[-62.9365871051797, -146.87966910996016, 171.5210702843347, -22.871371980097333, -45.65892877388113, 86.5069930828993, -34.110649801562346, 82.84026560745406, 6.201351175745772, -62.05721749950449, 28.60954388399805, 36.491642518617326, -29.05268485463334, 71.49417155860208, 62.00661575330159, 29.285365192916792, -50.08842157771305, -135.9232647125644, 9.57518897276147, -15.778035268286544, -45.80983015297439, -67.10288205398065, 106.93793145169832, 14.83726008686537, -108.70144268632845, -70.30162304246781, -67.26146704126518, 70.64052392528222, 69.33809795345046, -5.280838294592094, -16.446200154510187, -55.97908998785027, 0.3988059634901866, 30.176271483231115, 71.8149636627115, -81.29881387642412, -26.890909484669965, -11.372630075637408, -61.884680074974916, 66.26438666985993, 3.387918623374695, -30.90358762881688, -66.24681149487974, -41.06770064709713, 0.5822862178436594, -71.26838870999669, -48.93815109981848, 141.69893914344985, 138.24798223021762, 98.70397132523809, 36.58040112204815, -9.331812473895809, 15.47317858358754, 46.17692642255129, 67.98345370801114, 69.12657861156981, 27.317943658496954, 81.87385169546494, -14.295243150058084, -127.7641972049062]",person49
"[-123.95018177454116, -77.2645528753799, 96.05936780261112, 65.8023890346596, 12.37643253295973, -21.31960934649357, 59.40802848491268, -9.279477038756456, -66.09725489035534, 14.930935516168041, -33.14580346750977, 0.15039027902799518, -31.41629070532693, -78.60164395686131, -44.72535409153953, -75.28273454561544, -39.81959256883282, -135.5335096218081, -11.163003792419605, -20.729395793988008, -105.73247070257929, -26.68791774372368, -12.083062914448263, -32.60520885403541, 58.77761889277263, -48.32070609248479, 0.3544594664969267, 64.1797888189785, 11.223460440988077, 122.0357412077162, 70.83189414689608, -63.76590324578436, 9.891437786998129, -21.446674468241834, -47.645416739668775, 6.0105458762569395, 80.37610605196227, -129.5022160782477, -30.19949597922307, 23.657857965343936, 31.612667360857735, -25.397302959695082, -45.316161437186004, -36.91607364677211, 78.73744086643985, 17.18517426188102, 91.21951960575208, -4.781549902303201, 90.26924752633346, 45.669756838607846, -18.11883794019537, -34.31998020812895, 78.22793453514703, 46.04303507155802, 106.33598313674749, 39.37971055650428, 43.66437506726466, 54.890180691850915, 14.427835140679637, -55.880256176287574]",person75
"[-41.12208598508826, -99.42865697400347, 65.91934746945694, 29.343532364963586, -19.27493133402497, 40.50643014808098, -21.840672758328697, -18.239461243708874, -6.9083915390237, -3.580688468027729, 77.05041119368029, -0.3503276560603368, 39.34468003520121, 87.14845742404236, 27.940191857209232, 21.310195906458386, -53.07583577647987, 36.581477986316045, -49.84506601188965, 10.818957803758614, 108.1105499286939, -15.198981499375245, -34.68961760270397, 27.45897866438391, -32.9894306814826, -13.092375844624673, -8.115891671465548, 57.83066659582969, -3.310892357903618, -10.036030425190837, 6.676880450733094, 10.902192077711597, 48.00056499263888, -3.2078717146509352, -6.191582163714401, -53.873962908125435, 65.46670618135782, -115.08495666217355, -46.19217738142835, 65.48336481442072, 48.29618374336723, -20.413854069740804, -99.28473139158646, 85.0569192125401, -10.406680802866923, -46.59075743955677, -23.47373428351794, 11.956769685403668, -16.549426007054922, -33.060175729844886, 34.09298991756821, -6.782282911383398, -80.88046808904286, 28.284784912175702, -15.066314736025806, 96.13015783121753, -3.9871630459467977, 3.234170241862227, -7.211120657064287, -64.11152621894678]",person11
